step,bucket_id,bucket_trusted,became_trusted,learning_samples,prediction_error,baseline_error_mean,baseline_error_std,z_score,L_t,W_t,warning,shadow_active,warmup_remaining,regime_change,num_trusted_buckets
21400,205,0,0,92,0.04182246,0.19186663,0.16727928,nan,0.00000000,0.00000000,0,0,0,0,0
21500,307,0,0,75,0.07315517,0.23217359,0.20409443,nan,0.00000000,0.00000000,0,0,0,0,0
21600,432,0,0,65,0.33850384,0.30329659,0.29509499,nan,0.00000000,0.00000000,0,0,0,0,0
21700,206,0,0,167,0.18575284,0.13187086,0.11575446,nan,0.00000000,0.00000000,0,0,0,0,0
21800,481,0,0,43,0.04323998,0.33203807,0.32467750,nan,0.00000000,0.00000000,0,0,0,0,0
21900,390,0,0,45,0.27228682,0.38204360,0.31231321,nan,0.00000000,0.00000000,0,0,0,0,0
22000,305,0,0,97,0.37802633,0.22409479,0.20343412,nan,0.00000000,0.00000000,0,0,0,0,0
22100,48,0,0,20,0.27583989,0.79311831,0.39267135,nan,0.00000000,0.00000000,0,0,0,0,0
22200,6,0,0,31,0.34051105,0.53391641,0.33550840,nan,0.00000000,0.00000000,0,0,0,0,0
22300,76,0,0,49,0.05977234,0.26766313,0.26528847,nan,0.00000000,0.00000000,0,0,0,0,0
22400,316,0,0,3,1.28755553,1.22924740,0.03660441,nan,0.00000000,0.00000000,0,0,0,0,0
22500,15,0,0,53,0.10111965,0.27577230,0.24062351,nan,0.00000000,0.00000000,0,0,0,0,0
22600,197,0,0,92,0.10405010,0.22473405,0.18801018,nan,0.00000000,0.00000000,0,0,0,0,0
22700,432,0,0,67,0.09127791,0.28933634,0.28439574,nan,0.00000000,0.00000000,0,0,0,0,0
22800,197,0,0,93,0.10156817,0.21857575,0.18520530,nan,0.00000000,0.00000000,0,0,0,0,0
22900,462,0,0,79,0.00318787,0.10476849,0.13994480,nan,0.00000000,0.00000000,0,0,0,0,0
23000,14,0,0,56,0.40444122,0.23785900,0.20880541,nan,0.00000000,0.00000000,0,0,0,0,0
23100,236,0,0,29,0.06446831,0.37575159,0.28871890,nan,0.00000000,0.00000000,0,0,0,0,0
23200,316,0,0,4,0.92519680,1.21404487,0.07526028,nan,0.00000000,0.00000000,0,0,0,0,0
23300,120,0,0,10,0.65875655,0.72568420,0.18130379,nan,0.00000000,0.00000000,0,0,0,0,0
23400,121,0,0,32,0.54670037,0.38777139,0.26127110,nan,0.00000000,0.00000000,0,0,0,0,0
23500,41,0,0,6,0.48826000,1.09976211,0.24708670,nan,0.00000000,0.00000000,0,0,0,0,0
23600,288,0,0,31,0.19466746,0.46688795,0.26506427,nan,0.00000000,0.00000000,0,0,0,0,0
23700,147,0,0,5,0.78890037,0.39414117,0.10290531,nan,0.00000000,0.00000000,0,0,0,0,0
23800,197,0,0,108,0.27585724,0.17188147,0.15936682,nan,0.00000000,0.00000000,0,0,0,0,0
23900,207,0,0,111,0.53105508,0.19174723,0.20957276,nan,0.00000000,0.00000000,0,0,0,0,0
24000,18,0,0,46,0.68259325,0.42390491,0.37605883,nan,0.00000000,0.00000000,0,0,0,0,0
24100,139,0,0,13,0.34125311,0.63270944,0.26149264,nan,0.00000000,0.00000000,0,0,0,0,0
24200,207,0,0,113,0.06446575,0.17680343,0.20438909,nan,0.00000000,0.00000000,0,0,0,0,0
24300,317,0,0,36,0.13224061,0.44851540,0.33360280,nan,0.00000000,0.00000000,0,0,0,0,0
24400,304,0,0,100,0.27235655,0.20596901,0.25464668,nan,0.00000000,0.00000000,0,0,0,0,0
24500,335,0,0,55,0.04589579,0.28450304,0.27346240,nan,0.00000000,0.00000000,0,0,0,0,0
24600,206,0,0,183,0.07741922,0.13967148,0.12176972,nan,0.00000000,0.00000000,0,0,0,0,0
24700,26,0,0,38,0.19421687,0.45854607,0.31800835,nan,0.00000000,0.00000000,0,0,0,0,0
24800,386,0,0,51,0.02056705,0.28542661,0.33619375,nan,0.00000000,0.00000000,0,0,0,0,0
24900,506,0,0,51,0.10865649,0.24929050,0.28227513,nan,0.00000000,0.00000000,0,0,0,0,0
25000,50,0,0,29,0.12406041,0.66713122,0.58277664,nan,0.00000000,0.00000000,0,0,0,0,0
25100,97,0,0,46,0.26751792,0.31376226,0.29208451,nan,0.00000000,0.00000000,0,0,0,0,0
25200,381,0,0,60,0.06030261,0.40084743,0.36656285,nan,0.00000000,0.00000000,0,0,0,0,0
25300,291,0,0,15,0.21207308,0.65058860,0.22364854,nan,0.00000000,0.00000000,0,0,0,0,0
25400,305,0,0,129,0.19911834,0.15339712,0.12918419,nan,0.00000000,0.00000000,0,0,0,0,0
25500,333,0,0,43,0.07017976,0.52405726,0.50329016,nan,0.00000000,0.00000000,0,0,0,0,0
25600,287,0,0,111,0.11979413,0.12292892,0.14275456,nan,0.00000000,0.00000000,0,0,0,0,0
25700,306,0,0,163,0.06868857,0.11589568,0.10536000,nan,0.00000000,0.00000000,0,0,0,0,0
25800,507,0,0,51,0.17058661,0.30176875,0.32243742,nan,0.00000000,0.00000000,0,0,0,0,0
25900,254,0,0,42,0.11701077,0.29992170,0.23564788,nan,0.00000000,0.00000000,0,0,0,0,0
26000,4,0,0,91,0.18136478,0.17201186,0.21771506,nan,0.00000000,0.00000000,0,0,0,0,0
26100,134,0,0,193,0.03305798,0.11283935,0.20101948,nan,0.00000000,0.00000000,0,0,0,0,0
