step,fast_slow_gap,fast_wins,bernoulli_llr,familiarity_weight,weighted_bernoulli_llr,cusum_W,detector_active,regime_change,epistemic_uncertainty,epistemic_ref,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,initial_warmup_remaining,post_change_warmup_remaining,predictor_nll
11900,0.00000000,0,0.00000000,0.43536601,0.00000000,0.00000000,0,0,0.10441963,0.04546076,-21.36794472,-21.36794472,32.83710098,32.83710098,0.10441963,0.10441963,0,461,21.54506874
12000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.00214175,0.04571067,-48.73460770,-48.73460770,1.14079118,1.14079118,0.00214175,0.00214175,0,361,48.49111843
12100,0.00000000,0,0.00000000,0.43212492,0.00000000,0.00000000,0,0,0.10636552,0.04596319,-19.71107101,-19.71107101,33.63825226,33.63825226,0.10636552,0.10636552,0,261,19.47537549
12200,0.00000000,0,0.00000000,0.61173592,0.00000000,0.00000000,0,0,0.07553182,0.04620553,-20.56986618,-20.56986618,34.83930969,34.83930969,0.07553182,0.07553182,0,161,20.67946672
12300,0.00000000,0,0.00000000,0.48513466,0.00000000,0.00000000,0,0,0.09572806,0.04644100,-19.82827759,-19.82827759,35.73596954,35.73596954,0.09572806,0.09572806,0,61,20.97125435
12400,-0.03142548,0,-0.51082562,0.57775245,-0.29513075,0.00000000,1,0,0.08086244,0.04671847,-19.66056061,-19.62913513,19.12502098,18.89990044,0.08042387,0.08086244,0,0,20.19471359
12500,-0.25117683,0,-0.51082562,1.00000000,-0.51082562,0.00000000,1,0,0.04114937,0.04695962,-20.64585495,-20.39467812,15.44192123,15.91821098,0.04284708,0.04114937,0,0,20.51009560
12600,0.19020271,1,0.33647224,0.69687508,0.23447912,5.65520579,1,0,0.06764110,0.04713740,-21.21049118,-21.40069389,21.56761932,22.83976555,0.06752287,0.06764110,0,0,21.43298798
12700,0.91658401,1,0.33647224,0.75953380,0.25556204,22.54777632,1,0,0.06231740,0.04733217,-20.18898201,-21.10556602,15.95963573,16.97181320,0.06173458,0.06231740,0,0,20.11660449
12800,-0.26469231,0,-0.51082562,0.48199405,-0.24621491,36.99835940,1,0,0.09863557,0.04754176,-20.05187416,-19.78718185,34.53771973,35.80280685,0.09927016,0.09863557,0,0,21.84829617
12900,1.08009338,1,0.33647224,0.50788322,0.17088860,53.72905011,1,0,0.09403251,0.04775753,-20.34532166,-21.42541504,34.07589722,37.95553589,0.09171268,0.09403251,0,0,22.28810215
